EQUIPMENT,ORGANIZATION,YEAR MADE,QUANTITY,,,,,
CHEVROLET SILVERADO EXTENDED CAB PICKUP 4X4,CANADIAN ARMY,2013,2,,,,,
CHEVROLET SILVERADO EXTENDED CAB PICKUP 4X4,ASSISTANT DEPUTY MINISTER (MATERIEL),2011,2,,,,,
CHEVROLET SILVERADO EXTENDED CAB PICKUP 4X4,ROYAL CANADIAN AIRFORCE,2011,1,,,,,
CHEVROLET SILVERADO EXTENDED CAB PICKUP 4X4,ROYAL CANADIAN AIRFORCE,2013,4,,,,,
CHEVROLET SILVERADO EXTENDED CAB PICKUP 4X4,ROYAL CANADIAN AIRFORCE,2017,9,,,,,
CHEVROLET SILVERADO EXTENDED CAB PICKUP 4X4,ROYAL CANADIAN NAVY,2016,3,,,,,
CHEVROLET SILVERADO EXTENDED CAB PICKUP 4X4,ROYAL CANADIAN NAVY,2017,10,,,,,
CHEVROLET SILVERADO HYBRID PICKUP 3/4T,CANADIAN ARMY,2013,144,,,,,
CHEVROLET SILVERADO HYBRID PICKUP 3/4T,DEFENCE REDEARCH AND DEVELOPMENT CANADA CORPORATE SERVICES,2013,3,,,,,
CHEVROLET SILVERADO PICKUP,CANADIAN ARMY,2010,3,,,,,
CHEVROLET SILVERADO PICKUP,CANADIAN ARMY,2012,1,,,,,
CHEVROLET SILVERADO PICKUP,CANADIAN ARMY,2013,13,,,,,
CHEVROLET SILVERADO PICKUP,CANADIAN ARMY,2014,18,,,,,
CHEVROLET SILVERADO PICKUP,DEFENCE REDEARCH AND DEVELOPMENT CANADA CORPORATE SERVICES,2013,1,,,,,
CHEVROLET SILVERADO PICKUP,ROYAL CANADIAN AIRFORCE,2014,8,,,,,
CHEVROLET SILVERADO PICKUP,ROYAL CANADIAN AIRFORCE,2017,9,,,,,
CHEVROLET SILVERADO PICKUP,ROYAL CANADIAN NAVY,2010,2,,,,,
CHEVROLET SILVERADO PICKUP,ROYAL CANADIAN NAVY,2011,1,,,,,
CHEVROLET SILVERADO PICKUP,ROYAL CANADIAN NAVY,2014,1,,,,,
CHEVROLET SILVERADO PICKUP,ROYAL CANADIAN NAVY,2017,12,,,,,
CHEVROLET SILVERADO PICKUP,VICE CHIEF OF THE DEFENCE STAFF,2014,1,,,,,
CHEVROLET SILVERADO PICKUP 1 1/2T,CANADIAN JOINT OPERATIONS COMMAND,2014,1,,,,,
CHEVROLET SILVERADO PICKUP 1 1/2T,MILITARY PERSONNEL COMMAND,2011,1,,,,,
CHEVROLET SILVERADO PICKUP 1 1/2T,ROYAL CANADIAN NAVY,2011,5,,,,,
CHEVROLET SILVERADO PICKUP 1 1/2T,ROYAL CANADIAN NAVY,2012,12,,,,,
CHEVROLET SILVERADO PICKUP 1 1/2T,VICE CHIEF OF THE DEFENCE STAFF,2011,1,,,,,
CHEVROLET SILVERADO PICKUP 1 1/2T,VICE CHIEF OF THE DEFENCE STAFF,2013,1,,,,,
CHEVROLET SILVERADO PICKUP 1 1/2T 4X4,CANADIAN ARMY,2015,2,,,,,
CHEVROLET SILVERADO PICKUP 1 1/2T 4X4,CANADIAN ARMY,2016,6,,,,,
CHEVROLET SILVERADO PICKUP 1 1/2T 4X4,CANADIAN FORCE SUPPLY DEPOT,2017,4,,,,,
CHEVROLET SILVERADO PICKUP 1 1/2T 4X4,MILITARY PERSONNEL COMMAND,2012,1,,,,,
CHEVROLET SILVERADO PICKUP 1 1/2T 4X4,MILITARY PERSONNEL COMMAND,2015,9,,,,,
CHEVROLET SILVERADO PICKUP 1 1/2T 4X4,MILITARY PERSONNEL COMMAND,2016,15,,,,,
CHEVROLET SILVERADO PICKUP 1 1/2T 4X4,ROYAL CANADIAN AIRFORCE,2015,3,,,,,
CHEVROLET SILVERADO PICKUP 1 1/2T 4X4,ROYAL CANADIAN AIRFORCE,2016,1,,,,,
CHEVROLET SILVERADO PICKUP 1 1/2T 4X4,ROYAL CANADIAN AIRFORCE,2017,4,,,,,
CHEVROLET SILVERADO PICKUP 1 1/2T 4X4,ROYAL CANADIAN NAVY,2015,1,,,,,
CHEVROLET SILVERADO PICKUP 1 3/4T,CANADIAN ARMY,2013,2,,,,,
CHEVROLET SILVERADO PICKUP 1 3/4T,ASSISTANT DEPUTY MINISTER (MATERIEL),2013,2,,,,,
CHEVROLET SILVERADO PICKUP 1 3/4T,MILITARY PERSONNEL COMMAND,2012,2,,,,,
CHEVROLET SILVERADO PICKUP 1 3/4T,MILITARY PERSONNEL COMMAND,2017,1,,,,,
CHEVROLET SILVERADO PICKUP 1 3/4T,ROYAL CANADIAN NAVY,2014,5,,,,,
CHEVROLET SILVERADO PICKUP 1 3/4T,ROYAL CANADIAN NAVY,2016,1,,,,,
CHEVROLET SILVERADO PICKUP 1/2T,CANADIAN ARMY,2013,2,,,,,
CHEVROLET SILVERADO PICKUP 1/2T,CANADIAN ARMY,2015,1,,,,,
CHEVROLET SILVERADO PICKUP 1/2T,DEFENCE REDEARCH AND DEVELOPMENT CANADA CORPORATE SERVICES,2013,1,,,,,
CHEVROLET SILVERADO PICKUP 1/2T,ROYAL CANADIAN AIRFORCE,2011,1,,,,,
CHEVROLET SILVERADO PICKUP 1/2T,VICE CHIEF OF THE DEFENCE STAFF,2013,1,,,,,
CHEVROLET SILVERADO PICKUP 1/2T,VICE CHIEF OF THE DEFENCE STAFF,2016,1,,,,,
CHEVROLET SILVERADO PICKUP 1T 4X2,CANADIAN ARMY,2011,1,,,,,
CHEVROLET SILVERADO PICKUP 1T 4X2,ROYAL CANADIAN NAVY,2010,2,,,,,
CHEVROLET SILVERADO PICKUP 1T 4X2,ROYAL CANADIAN NAVY,2011,4,,,,,
CHEVROLET SILVERADO PICKUP 1T 4X4,VICE CHIEF OF THE DEFENCE STAFF,2013,1,,,,,
CHEVROLET SILVERADO PICKUP 2 1/2T,MILITARY PERSONNEL COMMAND,2011,2,,,,,
CHEVROLET SILVERADO PICKUP 2 1/2T,ROYAL CANADIAN AIRFORCE,2017,2,,,,,
CHEVROLET SILVERADO PICKUP 3/4T,CANADIAN ARMY,2013,5,,,,,
CHEVROLET SILVERADO PICKUP 3/4T,ROYAL CANADIAN NAVY,2011,3,,,,,
CHEVROLET SILVERADO PICKUP 3/4T 4X2,CANADIAN ARMY,2011,1,,,,,
CHEVROLET SILVERADO PICKUP 3/4T 4X2,CANADIAN ARMY,2013,7,,,,,
CHEVROLET SILVERADO PICKUP 3/4T 4X2,ROYAL CANADIAN AIRFORCE,2011,1,,,,,
CHEVROLET SILVERADO PICKUP 4X2,CANADIAN ARMY,2010,1,,,,,
CHEVROLET SILVERADO PICKUP 8FT 4X4,CANADIAN ARMY,2013,31,,,,,
CHEVROLET SILVERADO PICKUP 8FT 4X4,CANADIAN ARMY,2014,24,,,,,
CHEVROLET SILVERADO PICKUP 8FT 4X4,DEFENCE REDEARCH AND DEVELOPMENT CANADA CORPORATE SERVICES,2013,2,,,,,
CHEVROLET SILVERADO PICKUP 8FT 4X4,DEFENCE REDEARCH AND DEVELOPMENT CANADA CORPORATE SERVICES,2014,1,,,,,
CHEVROLET SILVERADO PICKUP 8FT 4X4,MILITARY PERSONNEL COMMAND,2013,5,,,,,
CHEVROLET SILVERADO PICKUP 8FT 4X4,ROYAL CANADIAN AIRFORCE,2011,1,,,,,
CHEVROLET SILVERADO PICKUP 8FT 4X4,ROYAL CANADIAN AIRFORCE,2013,1,,,,,
CHEVROLET SILVERADO PICKUP 8FT 4X4,ROYAL CANADIAN AIRFORCE,2014,13,,,,,
CHEVROLET SILVERADO PICKUP 8FT 4X4,ROYAL CANADIAN NAVY,2012,3,,,,,
CHEVROLET SILVERADO PICKUP 8FT 4X4,ROYAL CANADIAN NAVY,2013,1,,,,,
CHEVROLET SILVERADO PICKUP 8FT 4X4,ROYAL CANADIAN NAVY,2014,7,,,,,
CHEVROLET SILVERADO PICKUP 8FT 4X4,VICE CHIEF OF THE DEFENCE STAFF,2013,2,,,,,
CHEVROLET SILVERADO TRUCK 1T,MILITARY PERSONNEL COMMAND,2011,1,,,,,
CHEVROLET SUBURBAN TRUCK,CANADIAN ARMY,1999,1,,,,,
CHEVROLET SUBURBAN TRUCK,CANADIAN ARMY,2003,5,,,,,
CHEVROLET SUBURBAN TRUCK,CANADIAN ARMY,2006,3,,,,,
CHEVROLET SUBURBAN TRUCK,CANADIAN ARMY,2007,13,,,,,
CHEVROLET SUBURBAN TRUCK,CANADIAN ARMY,2009,2,,,,,
CHEVROLET SUBURBAN TRUCK,CANADIAN ARMY,2011,3,,,,,
CHEVROLET SUBURBAN TRUCK,CANADIAN JOINT OPERATIONS COMMAND,2009,1,,,,,
CHEVROLET SUBURBAN TRUCK,CANADIAN JOINT OPERATIONS COMMAND,2012,1,,,,,
CHEVROLET SUBURBAN TRUCK,CANADIAN FORCE SUPPLY DEPOT,2005,2,,,,,
CHEVROLET SUBURBAN TRUCK,CANADIAN FORCE SUPPLY DEPOT,2009,1,,,,,
CHEVROLET SUBURBAN TRUCK,ASSISTANT DEPUTY MINISTER (MATERIEL),1998,1,,,,,
CHEVROLET SUBURBAN TRUCK,ASSISTANT DEPUTY MINISTER (MATERIEL),2008,1,,,,,
CHEVROLET SUBURBAN TRUCK,ASSISTANT DEPUTY MINISTER (MATERIEL),2009,1,,,,,
CHEVROLET SUBURBAN TRUCK,DEFENCE REDEARCH AND DEVELOPMENT CANADA CORPORATE SERVICES,2008,1,,,,,
CHEVROLET SUBURBAN TRUCK,MILITARY PERSONNEL COMMAND,2003,1,,,,,
CHEVROLET SUBURBAN TRUCK,ROYAL CANADIAN AIRFORCE,2007,2,,,,,
CHEVROLET SUBURBAN TRUCK,ROYAL CANADIAN AIRFORCE,2008,1,,,,,
CHEVROLET SUBURBAN TRUCK,ROYAL CANADIAN AIRFORCE,2009,3,,,,,
CHEVROLET SUBURBAN TRUCK,ROYAL CANADIAN AIRFORCE,2011,2,,,,,
CHEVROLET SUBURBAN TRUCK,ROYAL CANADIAN NAVY,2005,1,,,,,
CHEVROLET SUBURBAN TRUCK,ROYAL CANADIAN NAVY,2009,4,,,,,
CHEVROLET SUBURBAN TRUCK,ROYAL CANADIAN NAVY,2011,1,,,,,
CHEVROLET SUBURBAN TRUCK,VICE CHIEF OF THE DEFENCE STAFF,2011,2,,,,,
CHEVROLET SUBURBAN TRUCK,VICE CHIEF OF THE DEFENCE STAFF,2015,2,,,,,
CHEVROLET SUBURBAN TRUCK 1 1/2T,CANADIAN ARMY,2010,1,,,,,
CHEVROLET SUBURBAN TRUCK 1 1/2T,CANADIAN ARMY,2013,3,,,,,
CHEVROLET SUBURBAN TRUCK 1 1/2T,ROYAL CANADIAN AIRFORCE,2012,2,,,,,
CHEVROLET SUBURBAN VAN 4x4 8PAX,MILITARY PERSONNEL COMMAND,2009,4,,,,,
CHEVROLET TAHOE UTILITY TRUCK,CANADIAN ARMY,2003,3,,,,,
CHEVROLET TAHOE UTILITY TRUCK,CANADIAN ARMY,2005,1,,,,,
CHEVROLET TAHOE UTILITY TRUCK,CANADIAN ARMY,2009,5,,,,,
CHEVROLET TAHOE UTILITY TRUCK,CANADIAN ARMY,2011,3,,,,,
CHEVROLET TAHOE UTILITY TRUCK,CANADIAN FORCE SUPPLY DEPOT,2003,1,,,,,
CHEVROLET TAHOE UTILITY TRUCK,CANADIAN FORCE SUPPLY DEPOT,2004,1,,,,,
CHEVROLET TAHOE UTILITY TRUCK,MILITARY PERSONNEL COMMAND,2004,1,,,,,
CHEVROLET TAHOE UTILITY TRUCK,MILITARY PERSONNEL COMMAND,2005,1,,,,,
CHEVROLET TAHOE UTILITY TRUCK,MILITARY PERSONNEL COMMAND,2009,1,,,,,
CHEVROLET TAHOE UTILITY TRUCK,MILITARY PERSONNEL COMMAND,2011,1,,,,,
CHEVROLET TAHOE UTILITY TRUCK,ROYAL CANADIAN AIRFORCE,2009,1,,,,,
CHEVROLET TAHOE UTILITY TRUCK,ROYAL CANADIAN AIRFORCE,2012,1,,,,,
CHEVROLET TAHOE UTILITY TRUCK,ROYAL CANADIAN NAVY,2011,1,,,,,
CHEVROLET TAHOE UTILITY TRUCK,VICE CHIEF OF THE DEFENCE STAFF,2009,4,,,,,
CHEVROLET UPLANDER PANEL TRUCK,CANADIAN ARMY,2008,7,,,,,
CHEVROLET UPLANDER PANEL TRUCK,CANADIAN FORCE SUPPLY DEPOT,2008,1,,,,,
CHEVROLET UPLANDER PANEL TRUCK,ROYAL CANADIAN NAVY,2009,1,,,,,
CHEVROLET UPLANDER TRUCK,ASSISTANT DEPUTY MINISTER (INFRASTRUCTURE & ENVIRONMENT),2007,17,,,,,
CHEVROLET UPLANDER TRUCK,CANADIAN ARMY,2007,9,,,,,
CHEVROLET UPLANDER TRUCK,CANADIAN ARMY,2008,5,,,,,
CHEVROLET UPLANDER TRUCK,CANADIAN ARMY,2009,8,,,,,
CHEVROLET UPLANDER TRUCK,CANADIAN FORCE SUPPLY DEPOT,2008,10,,,,,
CHEVROLET UPLANDER TRUCK,CANADIAN FORCE SUPPLY DEPOT,2009,1,,,,,
CHEVROLET UPLANDER TRUCK,ROYAL CANADIAN AIRFORCE,2007,2,,,,,
CHEVROLET UPLANDER TRUCK,ROYAL CANADIAN AIRFORCE,2008,1,,,,,
CHEVROLET UPLANDER TRUCK,ROYAL CANADIAN NAVY,2007,4,,,,,
CHEVROLET UTILITY TRUCK,ROYAL CANADIAN AIRFORCE,1992,1,,,,,
CHEVROLET UTILITY TRUCK,ROYAL CANADIAN NAVY,2005,1,,,,,
CHEVROLET VENTURE CARRY-ALL TRUCK,CANADIAN FORCE SUPPLY DEPOT,2004,1,,,,,
CHEVROLET VOLT PLUG-IN HYBRID TRUCK,CANADIAN ARMY,2014,1,,,,,
CHIPPER WOOD MOUNTED TRAILER,MILITARY PERSONNEL COMMAND,2011,1,,,,,
CHRYSLER AWD SEDAN,CANADIAN ARMY,2016,1,,,,,
CHRYSLER AWD SEDAN,ROYAL CANADIAN AIRFORCE,2015,1,,,,,
CHRYSLER AWD SEDAN,VICE CHIEF OF THE DEFENCE STAFF,2015,2,,,,,
CHRYSLER FULL SIZE SEDAN,CANADIAN ARMY,2016,2,,,,,
CHRYSLER FULL SIZE SEDAN,MILITARY PERSONNEL COMMAND,2016,1,,,,,
CHRYSLER FULL SIZE SEDAN,VICE CHIEF OF THE DEFENCE STAFF,2007,5,,,,,
CHRYSLER INTREPID SEDAN,CANADIAN ARMY,2008,2,,,,,
CHRYSLER INTREPID SEDAN,CANADIAN ARMY,2009,3,,,,,
CHRYSLER INTREPID SEDAN,CANADIAN ARMY,2010,6,,,,,
CHRYSLER INTREPID SEDAN,CANADIAN FORCE SUPPLY DEPOT,2003,1,,,,,
CHRYSLER INTREPID SEDAN,CANADIAN FORCE SUPPLY DEPOT,2004,1,,,,,
CHRYSLER INTREPID SEDAN,CANADIAN FORCE SUPPLY DEPOT,2006,1,,,,,
CHRYSLER INTREPID SEDAN,CANADIAN FORCE SUPPLY DEPOT,2008,9,,,,,
CHRYSLER INTREPID SEDAN,CANADIAN FORCE SUPPLY DEPOT,2009,7,,,,,
CHRYSLER INTREPID SEDAN,CANADIAN FORCE SUPPLY DEPOT,2010,2,,,,,
CHRYSLER INTREPID SEDAN,CANADIAN FORCE SUPPLY DEPOT,2011,1,,,,,
CHRYSLER INTREPID SEDAN,MILITARY PERSONNEL COMMAND,2002,1,,,,,
CHRYSLER INTREPID SEDAN,MILITARY PERSONNEL COMMAND,2003,3,,,,,
CHRYSLER INTREPID SEDAN,MILITARY PERSONNEL COMMAND,2008,2,,,,,
CHRYSLER INTREPID SEDAN,MILITARY PERSONNEL COMMAND,2009,1,,,,,
CHRYSLER INTREPID SEDAN,MILITARY PERSONNEL COMMAND,2010,1,,,,,
CHRYSLER INTREPID SEDAN,MILITARY PERSONNEL COMMAND,2011,2,,,,,
CHRYSLER INTREPID SEDAN,ROYAL CANADIAN AIRFORCE,2004,3,,,,,
CHRYSLER INTREPID SEDAN,ROYAL CANADIAN AIRFORCE,2006,1,,,,,
CHRYSLER INTREPID SEDAN,ROYAL CANADIAN AIRFORCE,2008,1,,,,,
CHRYSLER INTREPID SEDAN,VICE CHIEF OF THE DEFENCE STAFF,2010,1,,,,,
CHRYSLER INTREPID SEDAN,VICE CHIEF OF THE DEFENCE STAFF,2011,1,,,,,
CHRYSLER LX SEDAN,CANADIAN ARMY,2014,1,,,,,
CHRYSLER LX SEDAN,ROYAL CANADIAN AIRFORCE,2014,1,,,,,
CHRYSLER LX SEDAN,VICE CHIEF OF THE DEFENCE STAFF,2014,6,,,,,
CHRYSLER SEDAN MIDSIZE,CANADIAN ARMY,2012,7,,,,,
CHRYSLER SEDAN MIDSIZE,ROYAL CANADIAN AIRFORCE,2012,3,,,,,
CHRYSLER SEDAN MIDSIZE,ROYAL CANADIAN NAVY,2012,1,,,,,
CHRYSLER SPEC RCMP,CANADIAN ARMY,2014,1,,,,,
CHRYSLER SPEC RCMP,ROYAL CANADIAN NAVY,2014,1,,,,,
CHRYSLER TOURING SEDAN,CANADIAN ARMY,2013,20,,,,,
CHRYSLER TOURING SEDAN,CANADIAN ARMY,2014,7,,,,,
CHRYSLER TOURING SEDAN,ROYAL CANADIAN AIRFORCE,2013,5,,,,,
CHRYSLER TOURING SEDAN,ROYAL CANADIAN NAVY,2013,1,,,,,
CHRYSLER TOURING SEDAN,VICE CHIEF OF THE DEFENCE STAFF,2013,1,,,,,
CLARK AIRCRAFT TOW TRACTOR,CANADIAN ARMY,1987,7,,,,,
CLARK AIRCRAFT TOW TRACTOR,CANADIAN FORCE SUPPLY DEPOT,1987,1,,,,,
CLARK AIRCRAFT TOW TRACTOR,MILITARY PERSONNEL COMMAND,1987,1,,,,,
CLARK AIRCRAFT TOW TRACTOR,ROYAL CANADIAN AIRFORCE,1987,21,,,,,
CLARK AIRCRAFT TOW TRACTOR,ROYAL CANADIAN NAVY,1987,1,,,,,
CLARK FORKLIFT,CANADIAN ARMY,1985,1,,,,,
CLARK FORKLIFT,CANADIAN ARMY,1990,1,,,,,
CLARK FORKLIFT,CANADIAN ARMY,1993,1,,,,,
CLARK FORKLIFT,CANADIAN ARMY,1998,3,,,,,
CLARK FORKLIFT,CANADIAN ARMY,2006,2,,,,,
CLARK FORKLIFT,CANADIAN ARMY,2008,1,,,,,
CLARK FORKLIFT,CANADIAN ARMY,2014,2,,,,,
CLARK FORKLIFT,CANADIAN ARMY,2015,1,,,,,
CLARK FORKLIFT,CANADIAN FORCE SUPPLY DEPOT,1987,1,,,,,
CLARK FORKLIFT,CANADIAN FORCE SUPPLY DEPOT,1993,1,,,,,
CLARK FORKLIFT,ROYAL CANADIAN AIRFORCE,2010,1,,,,,
CLARK FORKLIFT,ROYAL CANADIAN NAVY,2011,2,,,,,
CLARK FORKLIFT,VICE CHIEF OF THE DEFENCE STAFF,2011,1,,,,,
CLARK FORKLIFT,CANADIAN ARMY,2001,1,,,,,
CLARK FORKLIFT,CANADIAN ARMY,2002,1,,,,,
CLARK FORKLIFT,CANADIAN ARMY,2004,1,,,,,
CLARK FORKLIFT,CANADIAN ARMY,2009,1,,,,,
CLARK FORKLIFT,MILITARY PERSONNEL COMMAND,2004,1,,,,,
CLARK FORKLIFT,ROYAL CANADIAN AIRFORCE,2007,1,,,,,
CLARK FORKLIFT,ROYAL CANADIAN NAVY,2002,1,,,,,
CLARK FORKLIFT,VICE CHIEF OF THE DEFENCE STAFF,2004,3,,,,,
CLARK FORKLIFT,CANADIAN ARMY,Unknown,1,,,,,
CLARK FORKLIFT 3000 LBS,ROYAL CANADIAN AIRFORCE,2000,2,,,,,
CLARK FORKLIFT 4000 LBS,CANADIAN ARMY,2010,1,,,,,
CLARK WHLD TRACTOR,CANADIAN ARMY,1987,7,,,,,
CLARK WHLD TRACTOR,CANADIAN FORCE SUPPLY DEPOT,1987,1,,,,,
CLARK WHLD TRACTOR,ASSISTANT DEPUTY MINISTER (MATERIEL),1987,1,,,,,
CLARK WHLD TRACTOR,MILITARY PERSONNEL COMMAND,1987,1,,,,,
CLARK WHLD TRACTOR,ROYAL CANADIAN AIRFORCE,1987,46,,,,,
CLASSIC TRAILER VAN,CANADIAN ARMY,2008,1,,,,,
CLUB CAR 2 PAX,CANADIAN ARMY,2010,3,,,,,
CLUB CAR 4 PAX,CANADIAN ARMY,2010,1,,,,,
CLYDE BAGGAGE CARTS,ROYAL CANADIAN AIRFORCE,2015,1,,,,,
CLYDE BAGGAGE CARTS,ROYAL CANADIAN AIRFORCE,2016,5,,,,,
CNH AMERICA EXCAVATOR,CANADIAN ARMY,2005,1,,,,,
COMMAND AND POST MOUNTED TRUCK,CANADIAN ARMY,Unknown,2,,,,,
COMMAND AND POST MOUNTED TRUCK,CANADIAN JOINT OPERATIONS COMMAND,Unknown,2,,,,,
COMMAND AND POST MOUNTED TRUCK,ASSISTANT DEPUTY MINISTER (MATERIEL),Unknown,3,,,,,
COMMAND FIRST LINE MAINTENANCE TRUCK,CANADIAN ARMY,Unknown,1,,,,,
COMMERCIAL UTILITY CARGO VEHICLE,CANADIAN FORCE SUPPLY DEPOT,1986,2,,,,,
COMMERCIAL UTILITY CARGO VEHICLE,ROYAL CANADIAN AIRFORCE,1986,1,,,,,
COMPAIR COMPRESSOR,ROYAL CANADIAN AIRFORCE,2007,1,,,,,
COMPLEX RECOVERY TRAINING AID,CANADIAN ARMY,Unknown,1,,,,,
COMPRESSOR UNIT MOUNTED TRAILER,ROYAL CANADIAN AIRFORCE,2015,1,,,,,
COMPRESSOR UNIT MOUNTED TRAILER,ROYAL CANADIAN NAVY,2013,2,,,,,
COMPRESSOR UNIT MOUNTED TRAILER,ROYAL CANADIAN NAVY,2015,2,,,,,
CONTINENTAL CARGO TRAILER VAN,CANADIAN ARMY,2012,1,,,,,
CONTINENTAL CARGO TRAILER VAN,ROYAL CANADIAN AIRFORCE,2016,1,,,,,
CONTINENTAL TRAILER VAN 1500KG,CANADIAN ARMY,2010,1,,,,,
CONTINENTAL TRAILER VAN 1500KG,ROYAL CANADIAN AIRFORCE,2009,2,,,,,
CONTINENTAL TRAILER VAN 1500KG,ROYAL CANADIAN NAVY,2013,1,,,,,
CONTINENTAL UTILITY TRAILER,ROYAL CANADIAN AIRFORCE,2013,1,,,,,
CONTINETAL TRAILER VAN,CANADIAN ARMY,2011,1,,,,,
CONTINETAL TRAILER VAN,ROYAL CANADIAN AIRFORCE,2003,1,,,,,
CONVEYOR BELT LOADER,ROYAL CANADIAN AIRFORCE,2006,5,,,,,
CRAIG TRAILER,ROYAL CANADIAN AIRFORCE,1978,1,,,,,
CRAIGS FLAT-BED TRAILER,CANADIAN ARMY,1984,1,,,,,
CRAIGS FLAT-BED TRAILER,CANADIAN ARMY,1987,73,,,,,
CRAIGS FLAT-BED TRAILER,CANADIAN JOINT OPERATIONS COMMAND,1987,4,,,,,
CRAIGS FLAT-BED TRAILER,CANADIAN FORCE SUPPLY DEPOT,1987,1,,,,,
CRAIGS FLAT-BED TRAILER,MILITARY PERSONNEL COMMAND,1987,2,,,,,
CRAIGS FLAT-BED TRAILER,MILITARY PERSONNEL COMMAND,1999,1,,,,,
CRAIGS FLAT-BED TRAILER,ROYAL CANADIAN AIRFORCE,1987,2,,,,,
CRAIGS FLAT-BED TRAILER,ROYAL CANADIAN AIRFORCE,1997,1,,,,,
CRANE LTD WHLD MOUNTED CRANE,ROYAL CANADIAN AIRFORCE,Unknown,1,,,,,
CRANE LTD WHLD MOUNTED TRUCK 20T,ASSISTANT DEPUTY MINISTER (MATERIEL),Unknown,1,,,,,
CRANE LTD WHLD MOUNTED TRUCK 4X2 4.5T,CANADIAN ARMY,Unknown,1,,,,,
CRANE LTD WHLD MOUNTED TRUCK 4X2 4.5T,ROYAL CANADIAN NAVY,Unknown,3,,,,,
CRANE MOUNTED CRAWLER,CANADIAN ARMY,2013,1,,,,,
CRANE MOUNTED CRAWLER,CANADIAN JOINT OPERATIONS COMMAND,2013,1,,,,,
CRANE MOUNTED CRAWLER,ROYAL CANADIAN AIRFORCE,2013,1,,,,,
CROWN CONCRETE MIXER,ROYAL CANADIAN AIRFORCE,2008,1,,,,,
CROWN CONCRETE MIXER,ROYAL CANADIAN AIRFORCE,2011,1,,,,,
CROWN CONTROLS TRUCK,CANADIAN ARMY,1997,1,,,,,
CROWN ELECTRIC PALLET JACK 4500 LBS,CANADIAN ARMY,2007,2,,,,,
CROWN EMD FORKLIFT 3000 LBS,CANADIAN ARMY,2013,4,,,,,
CROWN EMD FORKLIFT 3000 LBS,CANADIAN ARMY,2015,2,,,,,
CROWN EMD FORKLIFT 3000 LBS,MILITARY PERSONNEL COMMAND,2012,1,,,,,
CROWN EMD FORKLIFT 3000 LBS,ROYAL CANADIAN NAVY,2014,3,,,,,
CROWN EMD FORKLIFT 3500 LBS,ROYAL CANADIAN NAVY,2011,2,,,,,
CROWN EMD FORKLIFT 3500 LBS,VICE CHIEF OF THE DEFENCE STAFF,2011,1,,,,,
CROWN EMD FORKLIFT 4500 LBS,CANADIAN ARMY,2014,1,,,,,
CROWN ESM FORKLIFT,ROYAL CANADIAN AIRFORCE,2006,1,,,,,
CROWN FORKLIFT,CANADIAN ARMY,1998,1,,,,,
CROWN FORKLIFT,CANADIAN ARMY,2002,1,,,,,
CROWN FORKLIFT,CANADIAN ARMY,2005,2,,,,,
CROWN FORKLIFT,CANADIAN ARMY,2006,11,,,,,
CROWN FORKLIFT,CANADIAN ARMY,2008,1,,,,,
CROWN FORKLIFT,CANADIAN FORCE SUPPLY DEPOT,2005,1,,,,,
CROWN FORKLIFT,ROYAL CANADIAN AIRFORCE,2001,1,,,,,
CROWN FORKLIFT,ROYAL CANADIAN AIRFORCE,2006,1,,,,,
CROWN FORKLIFT,ROYAL CANADIAN NAVY,2006,2,,,,,
CROWN FORKLIFT,ROYAL CANADIAN NAVY,2008,2,,,,,
CROWN FORKLIFT,ROYAL CANADIAN NAVY,2009,1,,,,,
CROWN FORKLIFT,VICE CHIEF OF THE DEFENCE STAFF,2003,1,,,,,
CROWN FORKLIFT,VICE CHIEF OF THE DEFENCE STAFF,2008,2,,,,,
CROWN FORKLIFT 2000 LB,CANADIAN FORCE SUPPLY DEPOT,1993,2,,,,,
CROWN LIFT TRUCK,CANADIAN ARMY,2010,7,,,,,
CROWN LIFT TRUCK,MILITARY PERSONNEL COMMAND,2011,1,,,,,
CROWN LIFT TRUCK,ROYAL CANADIAN NAVY,2010,1,,,,,
CROWN PALLET JACK,CANADIAN ARMY,2009,1,,,,,
CROWN PALLET JACK,MILITARY PERSONNEL COMMAND,2009,1,,,,,
CROWN PALLET JACK,ROYAL CANADIAN NAVY,2011,1,,,,,
CROWN PALLET TRUCK,CANADIAN ARMY,2006,2,,,,,
CROWN PALLET TRUCK,CANADIAN ARMY,2008,1,,,,,
CROWN PALLET TRUCK,CANADIAN ARMY,Unknown,1,,,,,
CROWN PALLET TRUCK,CANADIAN FORCE SUPPLY DEPOT,2002,3,,,,,
CROWN PALLET TRUCK,ROYAL CANADIAN NAVY,2005,2,,,,,
CROWN PALLET TRUCK,ROYAL CANADIAN NAVY,Unknown,1,,,,,
CROWN PALLET TRUCK,VICE CHIEF OF THE DEFENCE STAFF,2002,2,,,,,
CROWN PALLET TRUCK,VICE CHIEF OF THE DEFENCE STAFF,2005,1,,,,,
CUB CADET VOLUNTEER UTILITY VEHICLE 4X4,CANADIAN ARMY,2013,38,,,,,
CUB CADET VOLUNTEER UTILITY VEHICLE 4X4,ROYAL CANADIAN AIRFORCE,2013,9,,,,,
CUB CADET VOLUNTEER UTILITY VEHICLE 4X4,VICE CHIEF OF THE DEFENCE STAFF,2014,2,,,,,
CUMMINS CFB3V17501 UTILITY TRAILER,CANADIAN ARMY,2002,1,,,,,
