EQUIPMENT,ORGANIZATION,YEAR MADE,QUANTITY,,,,,
ARCTIC CAT BEARCAT SNOWMOBILE,ROYAL CANADIAN AIRFORCE,2010,1,,,,,
ARCTIC CAT BEARCAT SNOWMOBILE,ROYAL CANADIAN AIRFORCE,2011,2,,,,,
ARCTIC CAT BEARCAT SNOWMOBILE,ROYAL CANADIAN AIRFORCE,2012,1,,,,,
ARCTIC CAT BEARCAT SNOWMOBILE,ROYAL CANADIAN AIRFORCE,2013,6,,,,,
ARCTIC CAT PROWLER UTILITY VEHICLE,ROYAL CANADIAN AIRFORCE,2010,6,,,,,
ARCTIC CAT UTILITY VEHICLE,CANADIAN ARMY,2010,38,,,,,
ARCTIC CAT UTILITY VEHICLE,CANADIAN ARMY,2011,6,,,,,
ARCTIC CAT UTILITY VEHICLE,CANADIAN ARMY,2012,4,,,,,
ARCTIC CAT UTILITY VEHICLE,CANADIAN FORCE SUPPLY DEPOT,2010,1,,,,,
ARCTIC CAT UTILITY VEHICLE,ROYAL CANADIAN AIRFORCE,2010,5,,,,,
ARCTIC CAT UTILITY VEHICLE,ROYAL CANADIAN AIRFORCE,2011,1,,,,,
ARGO AMPHIBIOUS UTILITY VEHICLE,CANADIAN ARMY,2012,2,,,,,
ARGO AVENGER 750 EFI UTILITY VEHICLE,ASSISTANT DEPUTY MINISTER (MATERIEL),2008,1,,,,,
ARGO AVENGER 750 HDI UTILITY VEHICLE,CANADIAN ARMY,2015,1,,,,,
ARGO AVENGER 8 WHLD ATV ,ROYAL CANADIAN NAVY,2008,1,,,,,
ARGO CONQUEST 8 WHLD ATV,ROYAL CANADIAN AIRFORCE,2003,1,,,,,
ARGO CONQUEST 8 WHLD ATV,ROYAL CANADIAN AIRFORCE,2006,2,,,,,
ARNES SLIDING SEMI-TRAILER 35T ,ROYAL CANADIAN AIRFORCE,2003,1,,,,,
ARNES SLIDING SEMI-TRAILER 35T ,ROYAL CANADIAN NAVY,2003,1,,,,,
ARNES HYDRO SEMI-TRAILER 45T,CANADIAN ARMY,2000,9,,,,,
ARNES HYDRO SEMI-TRAILER 45T,CANADIAN ARMY,2003,4,,,,,
ARNES HYDRO SEMI-TRAILER 45T,ASSISTANT DEPUTY MINISTER (MATERIEL),2000,1,,,,,
ARNES BELLY DUMP SEMI-TRAILER,CANADIAN ARMY,2002,1,,,,,
ARNES DOLLY TRAILER,CANADIAN ARMY,2000,1,,,,,
ARNES DOLLY TRAILER,CANADIAN ARMY,2003,3,,,,,
ARNES LOW-BED FIXED TRAILER,CANADIAN FORCE SUPPLY DEPOT,2000,1,,,,,
ARNES LEGAL SEMI-TRAILER,ROYAL CANADIAN AIRFORCE,2000,1,,,,,
ARNES WELDING SEMI-TRAILER,CANADIAN ARMY,Unknown,3,,,,,
ARNES WELDING TRAILER,CANADIAN ARMY,1986,1,,,,,
ARNES WELDING TRAILER 25T,CANADIAN FORCE SUPPLY DEPOT,1997,2,,,,,
ARNES WELDING TRAILER 35T,CANADIAN ARMY,2006,17,,,,,
ARNES WELDING TRAILER 35T,ROYAL CANADIAN NAVY,2006,1,,,,,
