ÉQUIPEMENT,ORGANISATION,ANNÉE FRABRIQUÉ ,QUANTITÉ,,,,,
INTERNATIONAL FLAT-BED TRUCK,ARMÉE CANADIENNE,2014,2,,,,,
INTERNATIONAL MAINTENANCE TRUCK,ARMÉE CANADIENNE,1993,3,,,,,
INTERNATIONAL MOTORIZED BUS,ARMÉE CANADIENNE,2009,7,,,,,
INTERNATIONAL MOTORIZED BUS,ARMÉE CANADIENNE,2010,2,,,,,
INTERNATIONAL PROSTAR TRACTOR,ARMÉE CANADIENNE,2008,16,,,,,
INTERNATIONAL PROSTAR TRACTOR,ARMÉE CANADIENNE,2012,11,,,,,
INTERNATIONAL PROSTAR TRUCK,ARMÉE CANADIENNE,2010,1,,,,,
INTERNATIONAL SERVICING TRUCK,ARMÉE CANADIENNE,2008,2,,,,,
INTERNATIONAL SERVICING TRUCK,ARMÉE CANADIENNE,2009,5,,,,,
INTERNATIONAL SERVICING TRUCK,ARMÉE CANADIENNE,2010,11,,,,,
INTERNATIONAL SERVICING TRUCK,ARMÉE CANADIENNE,2011,3,,,,,
INTERNATIONAL SERVICING TRUCK,ARMÉE CANADIENNE,2014,2,,,,,
INTERNATIONAL TRACTOR 70T,ARMÉE CANADIENNE,2013,2,,,,,
INTERNATIONAL TRACTOR 70T,ARMÉE CANADIENNE,2016,21,,,,,
INTERNATIONAL TRUCK,ARMÉE CANADIENNE,2006,2,,,,,
INTERNATIONAL TRUCK,ARMÉE CANADIENNE,2009,5,,,,,
INTERNATIONAL TRUCK,ARMÉE CANADIENNE,2010,3,,,,,
INTERNATIONAL TRUCK,ARMÉE CANADIENNE,2011,2,,,,,
INTERNATIONAL TRUCK,ARMÉE CANADIENNE,2012,9,,,,,
INTERNATIONAL TRUCK,ARMÉE CANADIENNE,2013,1,,,,,
INTERNATIONAL TRUCK,ARMÉE CANADIENNE,2014,1,,,,,
INTERNATIONAL TRUCK 6X6,ARMÉE CANADIENNE,1997,2,,,,,
INTERNATIONAL TRUCK VAN 3T,ARMÉE CANADIENNE,2013,2,,,,,
INTERNATIONAL TRUCK VAN 3T,ARMÉE CANADIENNE,2014,3,,,,,
INTERNATIONAL TRUCK VAN 5T,ARMÉE CANADIENNE,2014,2,,,,,
INTERNATIONAL TRUCK VAN 5T,ARMÉE CANADIENNE,2015,5,,,,,
ISO FLAT-BED SEMI-TRAILER,ARMÉE CANADIENNE,2011,3,,,,,
J&J LOW-BED TRAILER 5450KG,ARMÉE CANADIENNE,2015,1,,,,,
J&J LOW-BED TRAILER 5450KG,ARMÉE CANADIENNE,2016,1,,,,,
JACOBSEN LAWN GARDEN TRACTOR,ARMÉE CANADIENNE,2009,1,,,,,
JCB MOTORIZED ROLLER,ARMÉE CANADIENNE,2015,1,,,,,
JCB SCOOP LOADER,ARMÉE CANADIENNE,2009,1,,,,,
JCB SKID STEER LOADER,ARMÉE CANADIENNE,2006,2,,,,,
JCB SKID STEER LOADER,ARMÉE CANADIENNE,2007,12,,,,,
J-DEER AGRIC TRACTOR,ARMÉE CANADIENNE,2015,1,,,,,
JDJ FLAT-BED TRAILER,ARMÉE CANADIENNE,2009,1,,,,,
JEEP CHEROKEE UTILITY TRUCK,ARMÉE CANADIENNE,2001,1,,,,,
JEEP GR CHEROKEE LAREDO TRUCK 4X4,ARMÉE CANADIENNE,2012,1,,,,,
JEEP GR CHEROKEE OVERLAND TRUCK,ARMÉE CANADIENNE,2015,2,,,,,
JEEP GR CHEROKEE UTILITY TRUCK,ARMÉE CANADIENNE,2007,1,,,,,
JEEP GR CHEROKEE UTILITY TRUCK,ARMÉE CANADIENNE,2008,2,,,,,
JEEP GR CHEROKEE UTILITY TRUCK,ARMÉE CANADIENNE,2009,1,,,,,
JEEP LIBERTY UTILITY TRUCK,ARMÉE CANADIENNE,2008,3,,,,,
JEEP LIBERTY UTILITY TRUCK,ARMÉE CANADIENNE,2009,1,,,,,
JEEP PATRIOT NORTH TRUCK 4X2,ARMÉE CANADIENNE,2015,1,,,,,
JEEP PATRIOT NORTH TRUCK 4X4,ARMÉE CANADIENNE,2011,11,,,,,
JEEP PATRIOT NORTH TRUCK 4X4,ARMÉE CANADIENNE,2013,1,,,,,
JEEP PATRIOT NORTH TRUCK 4X4,ARMÉE CANADIENNE,2014,1,,,,,
JEEP PATRIOT NORTH TRUCK 4X4,ARMÉE CANADIENNE,2015,1,,,,,
JI CASE EXCAVATOR TRAILER,ARMÉE CANADIENNE,2003,2,,,,,
JI CASE FORKLIFT,ARMÉE CANADIENNE,2003,1,,,,,
JI CASE HEAVY ROLLER,ARMÉE CANADIENNE,1989,2,,,,,
JI CASE SCOOP AIR LOADER,ARMÉE CANADIENNE,1984,8,,,,,
JI CASE SCOOP LOADER,ARMÉE CANADIENNE,1992,2,,,,,
JI CASE SCOOP LOADER,ARMÉE CANADIENNE,1994,1,,,,,
JI CASE SCOOP LOADER,ARMÉE CANADIENNE,1996,2,,,,,
JI CASE SCOOP LOADER,ARMÉE CANADIENNE,2000,3,,,,,
JI CASE SCOOP LOADER,ARMÉE CANADIENNE,2002,4,,,,,
JI CASE SCOOP LOADER,ARMÉE CANADIENNE,2003,3,,,,,
JI CASE SCOOP LOADER,ARMÉE CANADIENNE,2004,4,,,,,
JI CASE SCOOP LOADER,ARMÉE CANADIENNE,2005,4,,,,,
JI CASE SUPER TRACTOR,ARMÉE CANADIENNE,1998,4,,,,,
JI CASE SUPER TRACTOR,ARMÉE CANADIENNE,1999,15,,,,,
JI CASE SUPER TRACTOR,ARMÉE CANADIENNE,2002,2,,,,,
JI CASE SUPER TRACTOR,ARMÉE CANADIENNE,2003,1,,,,,
JI CASE SUPER TRACTOR,ARMÉE CANADIENNE,2006,4,,,,,
JI CASE TRACTOR,ARMÉE CANADIENNE,1982,3,,,,,
JI CASE TRACTOR,ARMÉE CANADIENNE,2009,2,,,,,
JLG LOW-BED TRAILER 2000KG,ARMÉE CANADIENNE,2008,2,,,,,
JLG SERVICING PLATFORM,ARMÉE CANADIENNE,2000,1,,,,,
JLG SERVICING PLATFORM,ARMÉE CANADIENNE,2002,1,,,,,
JLG SERVICING PLATFORM,ARMÉE CANADIENNE,2005,1,,,,,
JLG SERVICING PLATFORM,ARMÉE CANADIENNE,2006,1,,,,,
JLG SERVICING PLATFORM,ARMÉE CANADIENNE,2009,1,,,,,
JLG SERVICING PLATFORM,ARMÉE CANADIENNE,2011,1,,,,,
JOHN DEERE AGRIC TRACTOR,ARMÉE CANADIENNE,2000,1,,,,,
JOHN DEERE AGRIC TRACTOR,ARMÉE CANADIENNE,2003,1,,,,,
JOHN DEERE DIESEL TRACTOR,ARMÉE CANADIENNE,2015,1,,,,,
JOHN DEERE DIESEL TRACTOR,ARMÉE CANADIENNE,2016,10,,,,,
JOHN DEERE EXCAVATOR,ARMÉE CANADIENNE,2014,1,,,,,
JOHN DEERE FULL TRACKED TRACTOR,ARMÉE CANADIENNE,2013,2,,,,,
JOHN DEERE FULL TRACKED TRACTOR,ARMÉE CANADIENNE,2016,2,,,,,
JOHN DEERE GATOR ATV 4X2,ARMÉE CANADIENNE,1999,4,,,,,
JOHN DEERE GATOR ATV 4X2,ARMÉE CANADIENNE,2016,1,,,,,
JOHN DEERE GATOR ATV 4X4,ARMÉE CANADIENNE,2006,1,,,,,
JOHN DEERE GATOR ATV 6X4,ARMÉE CANADIENNE,2000,29,,,,,
JOHN DEERE GATOR ATV 6X4,ARMÉE CANADIENNE,2010,28,,,,,
JOHN DEERE GATOR ATV 6X4,ARMÉE CANADIENNE,2015,1,,,,,
JOHN DEERE GATOR LIGHT UTILITY VEHICLE,ARMÉE CANADIENNE,2001,1,,,,,
JOHN DEERE GATOR LIGHT UTILITY VEHICLE,ARMÉE CANADIENNE,2003,1,,,,,
JOHN DEERE GATOR LIGHT UTILITY VEHICLE,ARMÉE CANADIENNE,2005,4,,,,,
JOHN DEERE GATOR LIGHT UTILITY VEHICLE,ARMÉE CANADIENNE,2007,4,,,,,
JOHN DEERE GATOR LIGHT UTILITY VEHICLE,ARMÉE CANADIENNE,2008,2,,,,,
JOHN DEERE GATOR LIGHT UTILITY VEHICLE,ARMÉE CANADIENNE,2009,9,,,,,
JOHN DEERE GATOR LIGHT UTILITY VEHICLE,ARMÉE CANADIENNE,2010,1,,,,,
JOHN DEERE GATOR LIGHT UTILITY VEHICLE,ARMÉE CANADIENNE,2016,12,,,,,
JOHN DEERE GATOR WHLD ATV,ARMÉE CANADIENNE,2006,1,,,,,
JOHN DEERE GRADER,ARMÉE CANADIENNE,2010,2,,,,,
JOHN DEERE GRADER,ARMÉE CANADIENNE,2013,7,,,,,
JOHN DEERE GRADER,ARMÉE CANADIENNE,2016,5,,,,,
JOHN DEERE LAWN TRACTOR,ARMÉE CANADIENNE,2005,1,,,,,
JOHN DEERE LAWN TRACTOR,ARMÉE CANADIENNE,2008,1,,,,,
JOHN DEERE LAWN TRACTOR,ARMÉE CANADIENNE,2009,7,,,,,
JOHN DEERE LAWN TRACTOR,ARMÉE CANADIENNE,2012,3,,,,,
JOHN DEERE LAWN TRACTOR,ARMÉE CANADIENNE,2013,2,,,,,
JOHN DEERE LAWN TRACTOR,ARMÉE CANADIENNE,2014,5,,,,,
JOHN DEERE LIGHT UTILITY TRUCK 6X4,ARMÉE CANADIENNE,2010,1,,,,,
JOHN DEERE LIGHT UTILITY TRUCK 6X4,ARMÉE CANADIENNE,2012,1,,,,,
JOHN DEERE LOADER 4X4,ARMÉE CANADIENNE,2015,3,,,,,
JOHN DEERE MOWER,ARMÉE CANADIENNE,2010,1,,,,,
JOHN DEERE MOWER,ARMÉE CANADIENNE,2013,1,,,,,
JOHN DEERE MOWER,ARMÉE CANADIENNE,2014,2,,,,,
JOHN DEERE MOWER,ARMÉE CANADIENNE,2015,11,,,,,
JOHN DEERE MOWER,ARMÉE CANADIENNE,2016,6,,,,,
JOHN DEERE SCOOP LOADER,ARMÉE CANADIENNE,2015,5,,,,,
JOHN DEERE SCOOP LOADER,ARMÉE CANADIENNE,2016,3,,,,,
JOHN DEERE SKID STEER LOADER,ARMÉE CANADIENNE,2009,1,,,,,
JOHN DEERE SKID STEER LOADER,ARMÉE CANADIENNE,2010,2,,,,,
JOHN DEERE SKID STEER LOADER,ARMÉE CANADIENNE,2012,2,,,,,
JOHN DEERE SKID STEER LOADER,ARMÉE CANADIENNE,2017,1,,,,,
JOHN DEERE TRACTOR,ARMÉE CANADIENNE,2009,1,,,,,
JOHN DEERE TRACTOR,ARMÉE CANADIENNE,2010,3,,,,,
JOHN DEERE TRACTOR,ARMÉE CANADIENNE,2013,3,,,,,
JOHN DEERE TRACTOR,ARMÉE CANADIENNE,2014,1,,,,,
JOHN DEERE UTILITY VEHICLE,ARMÉE CANADIENNE,2010,2,,,,,
JOHN DEERE UTILITY VEHICLE,ARMÉE CANADIENNE,2011,8,,,,,
JOHN DEERE WHLD TRACTOR,ARMÉE CANADIENNE,1997,2,,,,,
JOHN DEERE WHLD TRACTOR,ARMÉE CANADIENNE,2000,2,,,,,
JOHN DEERE WHLD TRACTOR,ARMÉE CANADIENNE,2001,2,,,,,
JOHN DEERE WHLD TRACTOR,ARMÉE CANADIENNE,2004,3,,,,,
JOHN DEERE WHLD TRACTOR,ARMÉE CANADIENNE,2005,8,,,,,
JOHN DEERE WHLD TRACTOR,ARMÉE CANADIENNE,2006,3,,,,,
JOHN DEERE WHLD TRACTOR,ARMÉE CANADIENNE,2007,1,,,,,
JOHN DEERE WHLD TRACTOR,ARMÉE CANADIENNE,2008,3,,,,,
JOHN DEERE WHLD TRACTOR,ARMÉE CANADIENNE,2009,2,,,,,
JOHN DEERE WHLD TRACTOR,ARMÉE CANADIENNE,2010,4,,,,,
JOHN DEERE WHLD TRACTOR,ARMÉE CANADIENNE,2011,1,,,,,
JOHN DEERE WHLD TRACTOR,ARMÉE CANADIENNE,2013,1,,,,,
JOHN DEERE WHLD TRACTOR,ARMÉE CANADIENNE,2015,6,,,,,
JOHN DEERE WHLD TRACTOR,ARMÉE CANADIENNE,2016,2,,,,,
JOHN DEERE WHLD TRACTOR 4X4,ARMÉE CANADIENNE,2012,1,,,,,
KARGO CARGO TRAILER 1000KG,ARMÉE CANADIENNE,2009,1,,,,,
KARGO MAX LTD 3000KG 4.5M,ARMÉE CANADIENNE,2012,4,,,,,
KARGO MAX TRAILER 2000KG 5M,ARMÉE CANADIENNE,2009,1,,,,,
KARGO MAX TRAILER VAN 2000KG 5M,ARMÉE CANADIENNE,2011,1,,,,,
KARGO MAX VAN TRAILER 2500KG 8.5M,ARMÉE CANADIENNE,2013,1,,,,,
KAVAVAN FLAT-BED TRAILER 1000KG,ARMÉE CANADIENNE,2013,2,,,,,
KAVAVAN FLAT-BED TRAILER 1000KG,ARMÉE CANADIENNE,2015,1,,,,,
KAVAVAN FLAT-BED TRAILER 1000KG,ARMÉE CANADIENNE,2016,1,,,,,
KAVAVAN FLAT-BED TRAILER 2000KG,ARMÉE CANADIENNE,2013,2,,,,,
KAWASAKI MULE LIGHT UTILITY VEHICLE,ARMÉE CANADIENNE,2000,1,,,,,
KAWASAKI MULE LIGHT UTILITY VEHICLE,ARMÉE CANADIENNE,2001,2,,,,,
KAWASAKI MULE LIGHT UTILITY VEHICLE,ARMÉE CANADIENNE,2002,1,,,,,
KAWASAKI MULE LIGHT UTILITY VEHICLE,ARMÉE CANADIENNE,2004,3,,,,,
KAWASAKI MULE LIGHT UTILITY VEHICLE,ARMÉE CANADIENNE,2005,1,,,,,
KAWASAKI MULE LIGHT UTILITY VEHICLE,ARMÉE CANADIENNE,2009,1,,,,,
KAWASAKI TERYX ALL-TERRAIN VEHICLE,ARMÉE CANADIENNE,2010,1,,,,,
KENWORTH LOADING PALLET TRUCK,ARMÉE CANADIENNE,Inconnu,2,,,,,
KENWORTH PALLET TRUCK,ARMÉE CANADIENNE,1986,9,,,,,
KENWORTH TRACTOR,ARMÉE CANADIENNE,1997,2,,,,,
KING FLOAT LOW-BED TRAILER,ARMÉE CANADIENNE,Inconnu,1,,,,,
KING TRAILER 26T,ARMÉE CANADIENNE,2008,2,,,,,
KING TRAILER 72T,ARMÉE CANADIENNE,2007,11,,,,,
KIRILA FIRE TRAINER TRAILER,ARMÉE CANADIENNE,2013,1,,,,,
K-LINE LOW-BED SEMI-TRAILER,ARMÉE CANADIENNE,2008,1,,,,,
KNIGHT PALLET TRAILER,ARMÉE CANADIENNE,1986,37,,,,,
KOMATSU FULL TRACKED TRACTOR,ARMÉE CANADIENNE,1983,1,,,,,
KOMATSU FULL TRACKED TRACTOR,ARMÉE CANADIENNE,1992,1,,,,,
KOMATSU WHLD LOADER 4X4,ARMÉE CANADIENNE,2013,15,,,,,
KROHNERT TRAILER,ARMÉE CANADIENNE,1991,1,,,,,
KRUPP WHLD MOUNTED CRANE,ARMÉE CANADIENNE,1991,18,,,,,
KUBOTA HSTC TRACTOR,ARMÉE CANADIENNE,2008,1,,,,,
KUBOTA LAWN TRACTOR,ARMÉE CANADIENNE,2009,6,,,,,
KUBOTA RTV UTILITY VEHICLE,ARMÉE CANADIENNE,2007,1,,,,,
KUBOTA RTV UTILITY VEHICLE,ARMÉE CANADIENNE,2008,1,,,,,
KUBOTA RTV UTILITY VEHICLE,ARMÉE CANADIENNE,2011,5,,,,,
KUBOTA RTV UTILITY VEHICLE 4X4,ARMÉE CANADIENNE,2008,4,,,,,
KUBOTA RTV UTILITY VEHICLE 4X4,ARMÉE CANADIENNE,2014,2,,,,,
KUBOTA RTV UTILITY VEHICLE 4X4,ARMÉE CANADIENNE,2016,15,,,,,
KUBOTA TRACTOR 4X4,ARMÉE CANADIENNE,2014,1,,,,,
KUBOTA WHLD TRACTOR,ARMÉE CANADIENNE,2003,4,,,,,
KUBOTA WHLD TRACTOR,ARMÉE CANADIENNE,2004,1,,,,,
KUBOTA WHLD TRACTOR,ARMÉE CANADIENNE,2005,1,,,,,
KUBOTA WHLD TRACTOR,ARMÉE CANADIENNE,2006,2,,,,,
KUBOTA WHLD TRACTOR,ARMÉE CANADIENNE,2007,3,,,,,
LAND REFUEL TRUCK,ARMÉE CANADIENNE,1989,26,,,,,
LANDOLL BENDI TRUCK LIFT 4000 LB,ARMÉE CANADIENNE,2013,1,,,,,
LAROCHE SEMI-TRAILER,ARMÉE CANADIENNE,2005,1,,,,,
LARUE SNOW REMOVAL UNIT,ARMÉE CANADIENNE,2013,7,,,,,
LARUE SNOW REMOVAL UNIT,ARMÉE CANADIENNE,2016,4,,,,,
LGS LOOK TRAILER VAN,ARMÉE CANADIENNE,2010,4,,,,,
LIFTKING FORKLIFT,ARMÉE CANADIENNE,2005,6,,,,,
LIFTKING FORKLIFT,ARMÉE CANADIENNE,2006,1,,,,,
LIFTKING FORKLIFT,ARMÉE CANADIENNE,2008,1,,,,,
LIFTKING FORKLIFT,ARMÉE CANADIENNE,2009,1,,,,,
LIFTKING FORKLIFT,ARMÉE CANADIENNE,2013,1,,,,,
LIFTKING FORKLIFT,ARMÉE CANADIENNE,2016,6,,,,,
LIFTKING FORKLIFT 2700KG 4X4,ARMÉE CANADIENNE,2013,2,,,,,
LIFTKING TRUCK,ARMÉE CANADIENNE,2013,3,,,,,
LIFTKING TRUCK 12 VOLT,ARMÉE CANADIENNE,2002,1,,,,,
LIFTKING TRUCK LIFT,ARMÉE CANADIENNE,1990,1,,,,,
LIFTKING TRUCK LIFT,ARMÉE CANADIENNE,1997,3,,,,,
LIFTKING TRUCK LIFT,ARMÉE CANADIENNE,1999,1,,,,,
LIFTKING TRUCK LIFT,ARMÉE CANADIENNE,2002,9,,,,,
LIFTKING TRUCK LIFT,ARMÉE CANADIENNE,2004,32,,,,,
LIFTKING TRUCK LIFT,ARMÉE CANADIENNE,2005,1,,,,,
LIFTKING TRUCK LIFT,ARMÉE CANADIENNE,2007,14,,,,,
LINK BELT CRANE,ARMÉE CANADIENNE,2010,1,,,,,
LINKLETTER LOW-BED TRAILER,ARMÉE CANADIENNE,2002,1,,,,,
LMT SHELTER,ARMÉE CANADIENNE,2007,1,,,,,
LMT SHELTER,ARMÉE CANADIENNE,2008,3,,,,,
LOAD RITE BOAT TRAILER 1000K,ARMÉE CANADIENNE,2016,1,,,,,
LOAD RITE CANOE TRAILER 250KG,ARMÉE CANADIENNE,2015,1,,,,,
LOADLIFTER FORKLIFT,ARMÉE CANADIENNE,1995,3,,,,,
LOADLIFTER FORKLIFT,ARMÉE CANADIENNE,2008,6,,,,,
LOW-BED DUAL AXLE TRAILER 5T,ARMÉE CANADIENNE,2011,2,,,,,
LOW-BED TILT TRAILER 10000 LBS,ARMÉE CANADIENNE,Inconnu,1,,,,,
LOW-BED TRAILER 3000KG,ARMÉE CANADIENNE,2015,1,,,,,
LOW-BED TRAILER 4000KG 3.5M,ARMÉE CANADIENNE,2011,1,,,,,
LOW-BED TRAILER 4000KG 5.5M,ARMÉE CANADIENNE,2012,1,,,,,
LOW-BED TRAILER 4500KG 5M,ARMÉE CANADIENNE,2015,4,,,,,
LOW-BED TRIAXLE TRAILER 5T,ARMÉE CANADIENNE,2011,3,,,,,
LSVW TRUCK VAN,ARMÉE CANADIENNE,Inconnu,689,,,,,
LSVW UTILITY TRUCK,ARMÉE CANADIENNE,Inconnu,159,,,,,
MAC BEAVER TAIL TRAILER,ARMÉE CANADIENNE,2007,3,,,,,
MACK TRACTOR 6X4,ARMÉE CANADIENNE,2015,5,,,,,
MAGNUM LIGHTING,ARMÉE CANADIENNE,1993,1,,,,,
MAGNUM LIGHTING TOWER,ARMÉE CANADIENNE,1994,1,,,,,
MAGNUM LIGHTING TOWER,ARMÉE CANADIENNE,1997,3,,,,,
MAINTENANCE LINE TRUCK,ARMÉE CANADIENNE,2010,6,,,,,
MAINTENANCE LINE TRUCK,ARMÉE CANADIENNE,2011,1,,,,,
MAINTENANCE LINE TRUCK,ARMÉE CANADIENNE,2014,6,,,,,
MAINTENANCE REDPACK TRAILER,ARMÉE CANADIENNE,2007,8,,,,,
MANAC DUMP SEMI-TRAILER,ARMÉE CANADIENNE,2014,4,,,,,
MANAC FLAT-DECK SEMI-TRAILER,ARMÉE CANADIENNE,2013,3,,,,,
MANAC KITCHEN TRAILER,ARMÉE CANADIENNE,1984,6,,,,,
MANAC SEMI TRAILER VAN 53 FT,ARMÉE CANADIENNE,2011,2,,,,,
MANAC SEMI-TRAILER,ARMÉE CANADIENNE,2006,1,,,,,
MANAC SEMI-TRAILER,ARMÉE CANADIENNE,2010,5,,,,,
MANAC SEMI-TRAILER,ARMÉE CANADIENNE,2011,5,,,,,
MANAC SEMI-TRAILER VAN 48 FT,ARMÉE CANADIENNE,2015,4,,,,,
MANAC SEMI-TRAILER VAN 53 FT,ARMÉE CANADIENNE,2013,2,,,,,
MANAC SEMI-TRAILER VAN 53 FT,ARMÉE CANADIENNE,2015,4,,,,,
MANAC TANK TRAILER,ARMÉE CANADIENNE,1984,43,,,,,
MANAC TANK TRAILER,ARMÉE CANADIENNE,1985,3,,,,,
MANAC TRAILER 1-1/2T,ARMÉE CANADIENNE,1984,500,,,,,
MANAC TRAILER 35T 53FT,ARMÉE CANADIENNE,2011,2,,,,,
MANAC TRIDEM SEMI-TRAILER,ARMÉE CANADIENNE,2003,1,,,,,
MANAC TRIDEM SEMI-TRAILER,ARMÉE CANADIENNE,2006,7,,,,,
MANITEX FORKLIFT 35000 LBS,ARMÉE CANADIENNE,2014,2,,,,,
MANITEX LIFTKING FORLIFT,ARMÉE CANADIENNE,2013,1,,,,,
MANITEX LIFTKING FORLIFT,ARMÉE CANADIENNE,2014,1,,,,,
MARINE CRADLE BOAT TRAILER 3500K,ARMÉE CANADIENNE,2011,1,,,,,
MARINE CRADLE BOAT TRAILER 500KG,ARMÉE CANADIENNE,2015,2,,,,,
MARINE CRADLE BOAT TRAILER 7 M,ARMÉE CANADIENNE,2012,2,,,,,
M-B COMPANIES TOWGA SNOW REMOVER,ARMÉE CANADIENNE,2009,6,,,,,
MCI HIGHWAY BUS,ARMÉE CANADIENNE,1995,1,,,,,
MCI HWY-CRUISER 47/5 BUS,ARMÉE CANADIENNE,2007,12,,,,,
MCI HWY-CRUISER 47/5 BUS,ARMÉE CANADIENNE,2014,8,,,,,
MCI HWY-CRUISER 47/5 BUS,ARMÉE CANADIENNE,2015,1,,,,,
MEDICAL STATION UNIT,ARMÉE CANADIENNE,Inconnu,11,,,,,
MELROE BOBCAT LOADER,ARMÉE CANADIENNE,1999,1,,,,,
MERCEDES-BENZ ACTROS VEHICLE,ARMÉE CANADIENNE,2007,65,,,,,
MERCEDES-BENZ ACTROS VEHICLE,ARMÉE CANADIENNE,2008,5,,,,,
MERCEDES-BENZ LIGHT UTILITY WHLD VEHICLE,ARMÉE CANADIENNE,2004,755,,,,,
MERCEDES-BENZ SPRINTER VAN,ARMÉE CANADIENNE,2012,1,,,,,
MERCEDES-BENZ SPRINTER VAN,ARMÉE CANADIENNE,2014,1,,,,,
METEOROLOGICAL STATION,ARMÉE CANADIENNE,Inconnu,2,,,,,
MIC INDUSTRIES TRAILER,ARMÉE CANADIENNE,1996,3,,,,,
MIDDLEBURY TRAILER,ARMÉE CANADIENNE,2008,1,,,,,
MIDDLEBURY TRAILER,ARMÉE CANADIENNE,2009,1,,,,,
MIDDLEBURY TRAILER VAN,ARMÉE CANADIENNE,2012,1,,,,,
MIDWEST IND BOAT TRAILER 1000KG,ARMÉE CANADIENNE,1997,1,,,,,
MIDWEST IND BOAT TRAILER 3500KG,ARMÉE CANADIENNE,2011,3,,,,,
MIKASA ROLLER,ARMÉE CANADIENNE,2008,12,,,,,
MIL-QUIP TRAILER,ARMÉE CANADIENNE,2006,31,,,,,
MINI TANDEM AXLE UTILITY TRAILER,ARMÉE CANADIENNE,2011,1,,,,,
MISKA LOW-BED TRAILER 2000KG 3.5M,ARMÉE CANADIENNE,2015,1,,,,,
MISKA TRAILER LOW BED 2000KG 3.5M,ARMÉE CANADIENNE,2016,1,,,,,
MISSION FLAT-BED SKIDOO TRAILER,ARMÉE CANADIENNE,2013,1,,,,,
MISSION SKIDOO TRAILER 1000KG,ARMÉE CANADIENNE,2013,4,,,,,
MISSION SKIDOO TRAILER 1000KG,ARMÉE CANADIENNE,2014,1,,,,,
MITSUBUSHI OUTLANDER 4X4,ARMÉE CANADIENNE,2013,1,,,,,
MOBILE FORKLIFT,ARMÉE CANADIENNE,2007,1,,,,,
MOELVEN CARGO TRAILER,ARMÉE CANADIENNE,1987,1,,,,,
MOTREC WHLD TRACTOR,ARMÉE CANADIENNE,2000,1,,,,,
MUST WESTING DOLLY LIFT,ARMÉE CANADIENNE,1991,1,,,,,
N&N SNOWMOBILE TRAILER,ARMÉE CANADIENNE,2010,1,,,,,
NAVISTAR BUS,ARMÉE CANADIENNE,1989,1,,,,,
NAVISTAR CARGO TRUCK 3T,ARMÉE CANADIENNE,Inconnu,1,,,,,
NAVISTAR DUMP TRUCK,ARMÉE CANADIENNE,1998,2,,,,,
NAVISTAR SERVICING PLATFORM,ARMÉE CANADIENNE,2015,1,,,,,
NAVISTAR SERVICING PLATFORM,ARMÉE CANADIENNE,2016,2,,,,,
NAVISTAR WRECKER TRUCK,ARMÉE CANADIENNE,1990,1,,,,,
NEW HOLLAND WHLD TRACTOR,ARMÉE CANADIENNE,2007,3,,,,,
NEW HOLLAND WHLD TRACTOR,ARMÉE CANADIENNE,2008,1,,,,,
NILFISK ADVANCE CAPTOR SWEEPER SCRUBBER,ARMÉE CANADIENNE,2006,1,,,,,
NISSAN ALTIMA SEDAN,ARMÉE CANADIENNE,2015,2,,,,,
NISSAN ALTIMA SEDAN,ARMÉE CANADIENNE,2017,34,,,,,
NISSAN CARGO TRUCK 1/2T 4X2,ARMÉE CANADIENNE,2012,1,,,,,
NISSAN CARGO VAN,ARMÉE CANADIENNE,2012,1,,,,,
NISSAN FORKLIFT,ARMÉE CANADIENNE,1993,1,,,,,
NISSAN FORKLIFT,ARMÉE CANADIENNE,2007,2,,,,,
NISSAN FRONTIER CARGO TRUCK,ARMÉE CANADIENNE,2015,2,,,,,
NISSAN PANEL TRUCK,ARMÉE CANADIENNE,2015,8,,,,,
NISSAN PANEL TRUCK,ARMÉE CANADIENNE,2017,1,,,,,
NISSAN PATHFINDER 1/2T 4X4,ARMÉE CANADIENNE,2011,1,,,,,
NISSAN PATHFINDER 4X4 5 PAX,ARMÉE CANADIENNE,2015,10,,,,,
NISSAN QUEST 7 PAX,ARMÉE CANADIENNE,2014,2,,,,,
NISSAN SENTRA SEDAN,ARMÉE CANADIENNE,2014,2,,,,,
NISSAN VERSA STATION WAGON,ARMÉE CANADIENNE,2007,1,,,,,
NISSAN XTERRA 4X4,ARMÉE CANADIENNE,2014,1,,,,,
NISSAN XTERRA 4X4,ARMÉE CANADIENNE,2015,3,,,,,
NORTH AMERICA SPEED TRAILER,ARMÉE CANADIENNE,2012,1,,,,,
NORTH WOODS BOAT TRAILER 500 KG,ARMÉE CANADIENNE,2013,1,,,,,
NORTHWESTERN WHLD WHSE ICED TRACTOR,ARMÉE CANADIENNE,Inconnu,2,,,,,
NOVA QUINTECH FIREFIGHTING TRUCK,ARMÉE CANADIENNE,Inconnu,1,,,,,
OASIS LOW-BED EQUIPMENT 12 FT,ARMÉE CANADIENNE,2009,1,,,,,
OASIS LOW-BED TRAILER 2000KG 4M,ARMÉE CANADIENNE,2016,3,,,,,
ODG ARGO AMPHIBIOUS ATV 8X8,ARMÉE CANADIENNE,2016,4,,,,,
OMEGA FORKLIFT,ARMÉE CANADIENNE,2007,1,,,,,
OMEGA FORKLIFT,ARMÉE CANADIENNE,2009,2,,,,,
OMEGA FORKLIFT 10000 LBS,ARMÉE CANADIENNE,2007,1,,,,,
